Algorithm: Kruskal's MST
MST edges: 
77830 73661 8
18708 5569 13
49098 75075 14
41875 35237 16
46447 30109 20
31598 79243 23
81139 74110 23
95729 26380 29
16112 68679 32
92746 42166 38
27363 53149 38
46687 5655 41
80404 93887 43
47963 7097 52
6377 5385 63
38187 74826 69
11159 375 72
24861 8109 72
28322 94027 72
1499 17909 79
60939 33417 80
17938 59353 83
20321 92966 95
25180 72616 96
9439 70763 112
91272 23969 115
64840 62503 117
72579 57872 118
90568 87513 124
96336 52049 130
44332 8995 130
27405 89455 130
79004 87351 135
62490 75345 136
24726 71654 137
3461 19064 138
58460 71050 139
97968 18235 142
78116 74813 145
79431 24354 147
12554 9026 150
83737 33803 153
67933 28275 156
24412 98959 157
87862 22677 158
10065 8680 165
22154 46593 165
4970 10599 167
33323 32290 169
99525 31768 172
42879 64746 172
27788 83417 175
92273 29880 176
59039 36443 182
47808 5509 182
37161 21364 187
69229 35864 190
38087 66607 190
54306 41173 192
75941 47590 195
18655 93985 200
8485 11364 202
11056 68537 209
71272 13956 211
53124 30417 219
63625 53181 219
97233 23746 221
19288 3755 225
8073 51090 225
74045 74830 231
76383 30103 232
44078 41750 232
92547 3472 236
31871 28943 236
1296 1606 243
48709 32026 247
22349 34905 248
66533 66256 251
44276 3865 255
54378 22126 258
36525 20604 264
65176 2056 272
26474 19256 272
27226 73175 275
94419 4430 276
48455 30413 276
44849 73727 276
23163 12232 279
51520 80332 284
82867 75587 293
18393 11677 298
5914 41194 298
63637 5366 305
21744 88625 325
97375 38731 332
32200 69041 333
40903 96209 334
29958 78021 335
28032 77563 337
77635 96808 339
84879 6145 339
61370 81239 341
80859 12638 347
97648 7164 361
32807 81796 370
7945 81705 372
47770 45838 375
25321 15271 381
49957 75671 383
88894 76731 385
83975 50665 395
27764 28040 396
95437 64441 397
77059 10375 400
9523 36300 405
44624 84706 406
32155 23433 410
12167 93430 412
35693 11039 415
98847 85614 415
66236 4027 415
19566 24699 415
60877 56215 418
18475 62421 420
