Algorithm: Kruskal's MST
MST edges: 
13389 32722 1
19095 39278 12
36797 25077 28
7908 321 50
20297 11596 50
12292 47993 52
22092 18187 74
26529 112 89
23447 35913 94
43101 25266 99
36651 46206 113
8179 11634 115
21948 34506 139
49854 38893 159
18464 30433 161
39609 43936 168
7175 13839 175
11577 10234 179
41915 30809 181
5468 20416 197
47287 48966 210
34131 9342 212
23048 24194 220
45744 26646 221
1952 30659 223
3133 7551 226
9598 13448 227
33034 25729 233
25220 40531 244
30428 43387 251
16881 13003 256
14700 5329 264
35061 33788 287
20736 28389 311
30881 20079 314
30807 22082 318
36620 6858 319
19555 48888 331
33035 17344 331
6095 2849 341
26785 44585 345
170 223 345
48887 33433 345
21100 21567 358
31597 26218 368
30887 11342 382
8197 46600 382
5323 1733 382
40150 23686 385
45234 46580 387
4038 5087 393
8529 6612 422
21991 14575 426
9449 5884 427
22853 46329 453
7066 44662 482
19991 14564 484
17594 23133 485
31656 18482 498
28767 22025 518
47793 42427 533
15584 7734 554
9867 21705 563
44225 2482 567
12123 10909 570
23110 6222 571
3545 3493 572
1005 7869 578
28941 34357 590
19989 15858 606
13918 39147 633
2942 30297 633
43314 11094 638
11644 13051 656
30602 38027 660
15656 3708 668
48276 42471 669
18152 9772 671
35843 29355 681
45607 17561 692
19286 44485 695
33784 28327 698
14155 6277 714
40488 27472 740
35847 24011 747
37571 6585 748
12192 28018 750
19236 10841 761
42904 17553 764
1509 13988 792
6831 19691 801
18591 16614 811
47705 10700 817
793 48546 819
324 3260 826
21957 36754 827
2204 22288 840
28282 36558 841
21503 291 847
18159 43501 853
36485 46521 853
22341 2721 861
40884 2013 866
29812 7265 867
765 142 871
4598 18702 874
48685 15480 877
7555 47864 882
5298 3330 888
18877 35727 892
4845 4496 902
13109 784 914
21271 44049 919
29956 5592 926
38122 23228 934
48131 17140 955
4856 5195 955
40616 21387 970
12093 37886 971
48309 44357 977
26029 40793 978
20966 47977 989
30591 23017 999
16855 37671 1004
6509 34669 1009
28724 49145 1009
12041 17434 1009
43502 25629 1013
11318 39393 1015
38998 36969 1017
6453 26048 1018
695 1519 1045
1926 19775 1052
21477 3506 1055
8460 4223 1058
27200 22601 1058
37542 41088 1063
33807 17009 1070
28495 1764 1074
10767 11402 1079
42656 30472 1090
39880 22724 1091
46166 31796 1092
10271 3084 1096
5746 20374 1103
34070 22021 1114
12757 39882 1126
33642 45975 1128
45545 10586 1139
2964 289 1157
9782 5066 1166
27684 11582 1196
2532 1705 1198
11715 34350 1201
18548 26824 1204
9766 14171 1212
20137 2198 1222
26256 17067 1238
27243 31111 1249
6967 15715 1249
46708 34102 1251
2918 19657 1262
16465 26831 1262
29967 23646 1264
5684 7463 1266
37188 1194 1274
15102 35990 1279
17488 27386 1295
17039 11742 1305
44735 23691 1307
26001 32738 1307
780 29740 1311
15180 24355 1328
1042 47746 1329
37352 25293 1337
42299 27978 1338
27821 23911 1338
32046 6388 1341
7191 5583 1349
20186 45614 1354
38956 862 1357
9189 3237 1358
13265 6733 1358
3754 2470 1362
14075 20516 1368
19473 19895 1370
34982 2822 1386
27410 17805 1400
17925 2668 1412
7090 15600 1417
11127 5967 1417
43117 36019 1417
24116 18507 1419
30973 24152 1424
20866 2172 1426
8616 17583 1428
9296 18770 1430
29378 11783 1430
7886 9817 1433
5336 13015 1435
38642 38901 1443
48513 27174 1450
6686 44984 1461
37893 23790 1461
33823 43213 1465
47858 5938 1484
29379 36349 1487
2824 45868 1498
35918 4039 1498
28068 15909 1522
39185 31209 1534
664 813 1567
41653 28621 1586
15300 6321 1592
44948 19584 1594
1149 1307 1600
12724 14595 1624
23785 36151 1625
33399 16198 1626
24135 7030 1639
45500 1780 1645
37534 22868 1649
10937 7364 1659
22331 16260 1661
4374 29732 1663
647 21854 1665
12974 22905 1666
36456 16705 1674
34574 6762 1675
28602 32542 1684
34551 43327 1688
21199 39755 1698
17741 33252 1715
20407 7413 1716
20871 10736 1718
1270 4650 1733
1874 3856 1734
13734 10573 1734
11662 15020 1736
514 22256 1737
11248 49390 1741
41681 14739 1748
48715 24274 1754
9923 34777 1759
24752 44966 1763
31260 11453 1814
28127 15619 1851
40112 26838 1861
24941 1546 1869
24818 29317 1875
10542 38934 1879
36281 9393 1884
7444 1949 1887
36111 6965 1887
48319 20063 1890
41125 28818 1901
15351 2585 1902
19181 14555 1930
24332 24356 1931
24945 6720 1934
46227 48043 1934
41815 38963 1936
7845 34183 1996
34898 10331 1996
20826 7963 2010
11249 33077 2012
41688 8616 2022
42693 12588 2029
23626 43523 2039
26805 373 2042
39575 15971 2047
48575 26013 2066
11788 14235 2067
18812 37366 2075
4126 35705 2079
2854 5046 2092
39628 26078 2099
3070 35866 2103
44079 39539 2104
22725 16893 2122
33367 30902 2130
24874 44597 2131
48545 13874 2136
7114 42584 2139
7760 7558 2148
43843 11618 2149
29486 46564 2162
44609 47709 2165
17687 36572 2169
39635 11842 2186
11096 22452 2211
29137 34460 2216
1152 13023 2222
2348 5499 2225
45995 44204 2235
49960 8414 2242
15246 11113 2246
5238 47085 2250
26262 37491 2252
31633 34884 2262
45864 461 2276
13141 47288 2282
6068 727 2291
41986 27487 2291
1227 5302 2294
46460 36794 2300
44712 5207 2314
22704 1370 2317
5755 16226 2326
4544 28444 2329
38227 28550 2330
16731 36769 2336
17228 20494 2338
899 47838 2340
2930 24888 2346
11200 3876 2349
43993 47684 2356
7865 16068 2356
23975 26361 2357
19523 19511 2364
8820 4703 2372
40544 36062 2373
2103 22118 2373
35435 42638 2393
28973 10808 2404
18290 28363 2410
26692 32016 2415
4837 36371 2417
30298 32927 2420
17737 4141 2426
31347 17235 2438
24607 37119 2439
36335 40334 2454
5172 7798 2461
14860 16932 2464
6871 46539 2479
8968 10167 2486
41918 28481 2490
49523 22719 2494
1708 1560 2501
39903 41565 2502
38613 27675 2556
44988 12377 2572
48069 12051 2578
45151 23707 2590
49428 20825 2606
14682 129 2615
27947 27051 2622
46296 31487 2630
36128 8301 2631
3249 24586 2651
8348 12469 2652
24493 32612 2667
29866 19544 2667
14293 20258 2683
41219 15467 2694
33794 32820 2697
6999 45906 2699
19317 10611 2704
3346 13157 2708
31676 5707 2709
31412 32256 2711
1365 9304 2712
18522 4231 2721
12284 22524 2725
19090 23727 2725
30538 9982 2727
19544 27870 2729
43685 10690 2747
34193 26531 2747
36927 45218 2749
5807 41282 2749
21887 41365 2752
21885 25238 2758
34731 48405 2765
39922 45374 2766
579 25619 2772
8062 22043 2779
27362 8759 2781
13989 27358 2786
25585 45073 2786
13512 31406 2800
34157 47963 2805
33198 18653 2812
18320 24319 2815
32117 40239 2816
22125 6401 2826
36131 430 2827
25066 31270 2829
46478 866 2833
25229 3126 2846
37042 24765 2851
33330 9232 2853
5076 8525 2858
4380 27801 2860
21448 16311 2865
31859 43562 2868
3504 16687 2870
11825 21105 2876
25281 49368 2878
7653 42945 2881
15870 38290 2888
49364 33318 2895
704 39254 2907
35257 48577 2912
30624 32365 2928
12256 6979 2931
7051 8439 2942
20525 35172 2953
25621 29716 2956
16169 20430 2957
10283 13783 2957
42911 40040 2959
5316 49736 2960
15073 6918 2971
18105 43402 2986
2839 5999 2994
4618 24249 3003
7490 19345 3004
35507 40270 3010
17966 1303 3025
5559 30559 3028
38980 27500 3033
49626 30590 3040
42544 21907 3042
39745 35754 3045
44131 40739 3048
9881 49410 3053
45752 3025 3055
21386 20043 3065
8785 29299 3098
15889 35801 3102
2788 17563 3108
10148 35876 3108
7548 17944 3125
35701 37678 3127
1561 654 3129
5885 35440 3138
37058 22813 3146
38000 6123 3149
46732 36358 3149
22983 40300 3150
18306 8418 3151
7249 10082 3152
5455 4849 3161
21053 35430 3166
40293 25931 3169
45940 47511 3171
46994 4813 3171
38737 18135 3176
26127 18691 3182
34234 28471 3183
16379 5945 3185
13924 977 3192
24789 48864 3193
10379 17977 3220
29499 5311 3223
33955 644 3225
31024 913 3226
2231 1027 3230
42696 2508 3231
3549 25588 3237
3994 46829 3243
9792 13989 3254
28302 43238 3258
40013 41566 3272
10939 49446 3275
56 4527 3281
21178 16759 3306
17260 33094 3318
31572 47634 3322
6975 21883 3333
31369 20766 3334
46836 49587 3342
49581 36941 3344
11869 16239 3354
22072 35787 3358
42108 44425 3360
3878 22090 3370
16936 45676 3384
18481 39504 3391
280 32974 3399
29811 6122 3400
22049 34308 3400
2831 48752 3418
41261 34010 3419
9098 43956 3421
15358 35002 3421
9296 22932 3436
33396 42596 3455
23635 11151 3456
2836 6783 3457
1519 34069 3463
14886 18054 3466
33588 4232 3466
18463 40157 3467
8020 33165 3469
9258 46884 3472
28567 22779 3476
9321 11494 3481
1147 8542 3504
48233 32826 3506
10847 9217 3518
28974 15527 3531
10429 22002 3533
2252 6572 3541
37543 19453 3545
35945 3437 3556
14629 8517 3568
10967 41450 3589
40474 22643 3605
21304 9753 3610
4965 25591 3619
11105 33645 3623
25471 36921 3630
3580 2077 3632
9384 3495 3642
2751 5412 3650
9061 40531 3665
29628 41689 3670
5959 27193 3672
33827 47093 3681
23383 20257 3693
27217 24659 3699
151 16247 3717
8394 43323 3723
46537 18711 3727
31183 49134 3746
1327 14405 3748
36811 272 3748
1138 11282 3753
15594 39892 3759
23175 39610 3760
47307 38399 3761
6296 3328 3767
7974 43411 3767
13821 2118 3770
26226 49107 3784
11090 6543 3784
22333 22304 3785
27705 47537 3791
43528 8663 3797
32002 39470 3806
20615 2355 3831
14404 3879 3838
36189 14440 3839
43426 18009 3855
26508 38315 3869
9498 39279 3877
4 520 3878
213 1621 3883
4411 48094 3888
4316 10674 3896
5598 42520 3898
40529 42467 3900
11883 9885 3913
17715 11814 3915
9940 43599 3924
5017 12891 3929
21772 2590 3937
36328 31531 3940
47441 11169 3942
9264 24724 3945
15803 14199 3947
6108 1731 3948
2180 23851 3953
16956 29517 3958
24429 37033 3961
2261 33459 3963
18526 37753 3965
22955 33677 3965
15553 27207 3973
10309 13269 3993
1458 28689 4005
28885 10456 4008
9199 3242 4027
6950 8635 4031
7040 6401 4036
31823 34637 4073
8404 30674 4077
39557 27144 4079
41898 7999 4092
6594 12201 4104
12660 23604 4112
33766 22073 4126
29912 32850 4128
38539 45696 4135
277 26523 4155
2423 17290 4160
32334 29500 4161
6953 6504 4163
530 46247 4167
21814 21430 4168
9350 14152 4178
14375 43684 4179
11260 18524 4202
34400 13575 4206
34999 22387 4214
41178 4169 4266
20975 29126 4289
28688 12880 4304
14810 5047 4306
43905 7012 4307
4613 22561 4313
41549 5374 4315
32506 32843 4315
25480 25867 4318
3296 26806 4321
12098 27393 4325
17548 27604 4326
7806 36649 4330
680 347 4330
20381 31156 4330
48957 21896 4342
21897 47968 4355
19224 20840 4375
44119 20319 4380
14668 36553 4384
15915 5909 4397
36352 10035 4405
3963 39316 4418
2524 32751 4427
15533 40327 4430
6987 20159 4432
7559 36691 4444
16840 22086 4461
16788 20991 4462
22831 4919 4464
19599 31730 4468
17903 14940 4471
16776 46865 4476
42793 24790 4486
12084 40150 4487
2336 47689 4488
24569 12734 4488
3007 15456 4489
25787 21859 4496
36406 8821 4507
45583 34076 4509
36754 10562 4517
33175 17599 4519
3351 6628 4522
35824 5764 4527
13749 41214 4535
47290 21645 4535
17045 5368 4547
38421 31016 4550
21283 11273 4552
3381 28510 4552
10052 9874 4569
48660 7738 4572
8408 7064 4574
21190 40032 4577
10538 12863 4591
47843 32090 4596
895 11230 4598
43933 25580 4617
35602 19970 4626
1898 5011 4627
34741 28772 4633
2758 22930 4638
32170 5139 4644
18250 15481 4649
48765 39521 4651
30422 27935 4652
3924 47405 4653
26349 47333 4661
328 29946 4665
34823 14364 4681
12131 2878 4683
14778 2374 4689
11051 40408 4690
32425 15783 4698
45605 44881 4704
36321 18460 4709
3348 10161 4716
37643 9387 4732
29484 42599 4733
21828 26825 4737
27427 9869 4748
2878 5186 4768
38860 33218 4789
13489 43434 4797
14410 28663 4798
49249 39793 4800
34501 27708 4830
38585 27493 4832
35001 29323 4841
8662 17938 4855
46574 8821 4864
11134 3890 4875
43365 13249 4877
13266 5771 4888
5179 10944 4894
13984 9267 4895
46242 46690 4899
29017 7711 4900
12114 3365 4906
45816 857 4930
11429 1707 4940
27848 47045 4941
32139 34130 4943
22051 13959 4950
6613 4667 4951
24770 36591 4959
6101 40737 4973
24113 47149 4983
20217 36783 4987
473 22641 5006
7652 44762 5008
35351 19288 5018
48592 42940 5019
23934 21082 5022
27975 8352 5023
165 25684 5045
15480 49340 5047
27921 37459 5056
